file,line_number,paper_output,study,estimation_call,reporting_call,category,se_type_actually_reported,notes
clean_replication/Dataverse_files/study1.R,178 (est); 180 (rep),Table A7,1,"models2 [['Model 3']] <-lm (support ~ treat, data=proimm)","modelsummary(models2, star=c('*'=.1, ""**""=.05, ""***""=.01), output=""latex"")",C,Classical OLS SEs,stated: '##TABLE A7##' at L174 and ReadMe.pdf. NO robust argument appears anywhere - not in the lm() calls and not in the modelsummary() call. There is nothing here that could have been 'conflated'.
clean_replication/Dataverse_files/study1.R,179 (est); 180 (rep),Table A7,1,"models2 [['Model 4']] <-lm (support ~ treat, data=noproimm)","modelsummary(models2, star=c('*'=.1, ""**""=.05, ""***""=.01), output=""latex"")",C,Classical OLS SEs,stated: '##TABLE A7##' at L174 and ReadMe.pdf. NO robust argument appears anywhere - not in the lm() calls and not in the modelsummary() call. There is nothing here that could have been 'conflated'.
clean_replication/Dataverse_files/study1.R,185 (est); 189 (rep),Table A8,1,"models2 [['Model 1']] <-lm (outcome ~ treat, data=df)","modelsummary(models2, star=c('*'=.1, ""**""=.05, ""***""=.01), output=""latex"", robust=TRUE)",B,HC3 robust SEs in the published table (robust=TRUE is not a modelsummary argument and is absorbed by ...; the version the authors ran nonetheless passed it through to the variance estimator - current versions do not),"stated: '##TABLE A8##' at L183 and ReadMe.pdf. This is the archetype the authors describe. Verified: modelsummary 2.5.0 has no 'robust' formal; robust=TRUE falls into ... and output is byte-identical to modelsummary(m). CORRECTION: the SEs printed in the published table are HC3, not classical - refitting gives HC3 to the last digit while classical differs. The version the authors ran honoured the undocumented argument; modelsummary 2.5.0 does not. Category B still applies: it records that robust=TRUE is not a supported way to request robust SEs, not that the printed SEs are classical."
clean_replication/Dataverse_files/study1.R,186 (est); 189 (rep),Table A8,1,"models2 [['Model 2']] <-lm (outcome ~ treat*imm_1, data=df)","modelsummary(models2, star=c('*'=.1, ""**""=.05, ""***""=.01), output=""latex"", robust=TRUE)",B,HC3 robust SEs in the published table (robust=TRUE is not a modelsummary argument and is absorbed by ...; the version the authors ran nonetheless passed it through to the variance estimator - current versions do not),"stated: '##TABLE A8##' at L183 and ReadMe.pdf. This is the archetype the authors describe. Verified: modelsummary 2.5.0 has no 'robust' formal; robust=TRUE falls into ... and output is byte-identical to modelsummary(m). CORRECTION: the SEs printed in the published table are HC3, not classical - refitting gives HC3 to the last digit while classical differs. The version the authors ran honoured the undocumented argument; modelsummary 2.5.0 does not. Category B still applies: it records that robust=TRUE is not a supported way to request robust SEs, not that the printed SEs are classical."
clean_replication/Dataverse_files/study1.R,187 (est); 189 (rep),Table A8,1,"models2 [['Model 3']] <-lm (outcome ~ treat, data=proimm)","modelsummary(models2, star=c('*'=.1, ""**""=.05, ""***""=.01), output=""latex"", robust=TRUE)",B,HC3 robust SEs in the published table (robust=TRUE is not a modelsummary argument and is absorbed by ...; the version the authors ran nonetheless passed it through to the variance estimator - current versions do not),"stated: '##TABLE A8##' at L183 and ReadMe.pdf. This is the archetype the authors describe. Verified: modelsummary 2.5.0 has no 'robust' formal; robust=TRUE falls into ... and output is byte-identical to modelsummary(m). CORRECTION: the SEs printed in the published table are HC3, not classical - refitting gives HC3 to the last digit while classical differs. The version the authors ran honoured the undocumented argument; modelsummary 2.5.0 does not. Category B still applies: it records that robust=TRUE is not a supported way to request robust SEs, not that the printed SEs are classical."
clean_replication/Dataverse_files/study1.R,188 (est); 189 (rep),Table A8,1,"models2 [['Model 4']] <-lm (outcome ~ treat, data=noproimm)","modelsummary(models2, star=c('*'=.1, ""**""=.05, ""***""=.01), output=""latex"", robust=TRUE)",B,HC3 robust SEs in the published table (robust=TRUE is not a modelsummary argument and is absorbed by ...; the version the authors ran nonetheless passed it through to the variance estimator - current versions do not),"stated: '##TABLE A8##' at L183 and ReadMe.pdf. This is the archetype the authors describe. Verified: modelsummary 2.5.0 has no 'robust' formal; robust=TRUE falls into ... and output is byte-identical to modelsummary(m). CORRECTION: the SEs printed in the published table are HC3, not classical - refitting gives HC3 to the last digit while classical differs. The version the authors ran honoured the undocumented argument; modelsummary 2.5.0 does not. Category B still applies: it records that robust=TRUE is not a supported way to request robust SEs, not that the printed SEs are classical."
clean_replication/Dataverse_files/study1.R,195 (est); 196 (rep),Figure A4 (model behind panel); console output,1,"model2<- lm (outcome ~ treat*imm_1, data=df)","summ(model2, robust=TRUE)",A,Robust HC3,stated: '##FIGURE A4##' at L192.
clean_replication/Dataverse_files/study1.R,"195 (est); 204, 210-215 (rep)","Figure A4, top panel (jittered predicted points)",1,"model2<- lm (outcome ~ treat*imm_1, data=df)","df$predictINT2<-predict(model2, df) ... geom_jitter(data=treat, aes(x=imm_1, y=predictINT2, ...))",D,None displayed,stated: '##FIGURE A4##' at L192. Point predictions only; no SEs or intervals plotted.
clean_replication/Dataverse_files/study1.R,209,"Figure A4, top panel (fitted slopes)",1,"stat_smooth(method = ""lm_robust"", fullrange = TRUE, se=FALSE)","stat_smooth(method = ""lm_robust"", fullrange = TRUE, se=FALSE)",D,None displayed,"stated: '##FIGURE A4##' at L192. estimatr::lm_robust is used as the smoother, but se=FALSE so no standard errors or bands are shown. Classified D (plot with no SEs) rather than A because nothing SE-based is reported."
clean_replication/Dataverse_files/study1.R,"195 (est); 234-239, 245 (rep)","Figure A4, bottom panel (conditional ATE)",1,"model2<- lm (outcome ~ treat*imm_1, data=df)","model2 %>% margins(at = list(imm_1 = seq(0, 10, by = 1))) %>% summary ... geom_errorbar(aes(ymax = (AME-SE*1.645), ...))",C,Classical (model-based) delta-method SEs,stated: '##FIGURE A4##' at L192. margins default vcov = stats::vcov(model); no robust argument.
clean_replication/Dataverse_files/study1.R,195 (est); 269-272 (rep),Figure A7,1,"model2<- lm (outcome ~ treat*imm_1, data=df)","lineartest2<- interact_plot(model2, pred=imm_1, modx=treat, interval=TRUE, linearity.check = TRUE, ...)",C,Classical (model-based) SEs,"stated: '###FIGURES A6 & A7###' at L259 and ggsave(""FigureA7.png"") at L275. robust is not passed. (Subtitle at L274 says 'Binary outcome logstic regression model' but model2 is the OLS model - labels appear swapped with A6.)"
clean_replication/Dataverse_files/study1.R,278 (est); 282 (rep),Figure A9,1,"model1<- lm (support ~ treat, data=df)","ritest1<- ritest(model1, 'treat', reps = 2000)",D,None - randomisation-inference permutation distribution,"stated: '###FIGURE A9###' at L277. Randomisation inference reports a permutation distribution of the treatment coefficient; no standard errors are computed or displayed, so the robust/classical distinction does not apply. (Separate bug, not an SE issue: L301 plots ritest2$betas where ritest3$betas is evidently intended.)"
clean_replication/Dataverse_files/study1.R,279 (est); 291 (rep),Figure A9,1,"model2<- lm (support ~ treat, data=proimm)","ritest2<- ritest(model2, 'treat', reps = 2000)",D,None - randomisation-inference permutation distribution,"stated: '###FIGURE A9###' at L277. Randomisation inference reports a permutation distribution of the treatment coefficient; no standard errors are computed or displayed, so the robust/classical distinction does not apply. (Separate bug, not an SE issue: L301 plots ritest2$betas where ritest3$betas is evidently intended.)"
clean_replication/Dataverse_files/study1.R,280 (est); 300 (rep),Figure A9,1,"model3<- lm (support ~ treat, data=noproimm)","ritest3<- ritest(model3, 'treat', reps = 2000)",D,None - randomisation-inference permutation distribution,"stated: '###FIGURE A9###' at L277. Randomisation inference reports a permutation distribution of the treatment coefficient; no standard errors are computed or displayed, so the robust/classical distinction does not apply. (Separate bug, not an SE issue: L301 plots ritest2$betas where ritest3$betas is evidently intended.)"
clean_replication/Dataverse_files/study2.R,41 (est); 42 (rep),Figure 6 (model behind panel); console output,2,"modelES<- glm (support ~ treat*imm_1, data=spain, weight=nationalweight, family=""binomial"")","summary(modelES, robust=TRUE)",B,Classical (model-based) SEs (robust=TRUE silently absorbed by ...),"stated: '##FIGURE 6##' at L39. This is base stats::summary.glm, NOT jtools::summ. Verified in R 4.5.2: summary(g)$coefficients and summary(g, robust=TRUE)$coefficients are identical(). Robust is requested and silently ignored, so category B - but note this is a console call, not a reported table."
clean_replication/Dataverse_files/study2.R,41 (est); 46-47 (rep),"Figure 6, top panel",2,"modelES<- glm (support ~ treat*imm_1, data=spain, weight=nationalweight, family=""binomial"")","predES<- interact_plot(modelES, pred = imm_1, modx = treat, interval = FALSE, colors = colors)",D,None displayed,"stated: '##FIGURE 6##' at L39. interval = FALSE, no bands drawn."
clean_replication/Dataverse_files/study2.R,"41 (est); 67-72, 78 (rep)","Figure 6, bottom panel (conditional ATE)",2,"modelES<- glm (support ~ treat*imm_1, data=spain, weight=nationalweight, family=""binomial"")","modelES %>% margins(at = list(imm_1 = seq(0, 10, by = 1))) %>% summary ... geom_errorbar(aes(ymax = (AME-SE*1.645), ...))",C,Classical (model-based) delta-method SEs,stated: '##FIGURE 6##' at L39. margins default vcov = stats::vcov(model); no robust argument in the margins pipeline.
clean_replication/Dataverse_files/study2.R,97 (est); 98 (rep),"Figure 7, left panel (model behind panel); console output",2,"modelsub1ES<- glm (support ~ treat, weight=nationalweight, data=proimmES, family=""binomial"")",summary(modelsub1ES),C,Classical (model-based) SEs,"stated: '##FIGURE 7###' at L91. No robust argument at all - contrast with the parallel Study 1 code at L104, which does pass robust=TRUE to summ()."
clean_replication/Dataverse_files/study2.R,97 (est); 110-112 (rep),"Figure 7, left panel",2,"modelsub1ES<- glm (support ~ treat, weight=nationalweight, data=proimmES, family=""binomial"")","proimmplotES<- effect_plot(model = modelsub1ES, pred = treat, cat.geom=""point"", cat.interval.geom=""linerange"", ..., int.width = .90)",C,Classical (model-based) SEs (90% intervals),"stated: '##FIGURE 7###' at L91. effect_plot accepts robust, but unlike the Study 1 counterparts (L117, L140) no robust argument is passed here. Hard-coded label 'ATE=.11***' at L125."
clean_replication/Dataverse_files/study2.R,101 (est); 102 (rep),"Figure 7, right panel (model behind panel); console output",2,"modelsub2ES<- glm (support ~ treat, weight=nationalweight, data=noproimmES, family=""binomial"")",summary(modelsub2ES),C,Classical (model-based) SEs,stated: '##FIGURE 7###' at L91.
clean_replication/Dataverse_files/study2.R,101 (est); 132-134 (rep),"Figure 7, right panel",2,"modelsub2ES<- glm (support ~ treat, weight=nationalweight, data=noproimmES, family=""binomial"")","noproimmplotES<- effect_plot(model = modelsub2ES, pred = treat, cat.geom=""point"", cat.interval.geom=""linerange"", ..., int.width = .90)",C,Classical (model-based) SEs (90% intervals),stated: '##FIGURE 7###' at L91. No robust argument. Hard-coded label 'ATE=.10***' at L147.
clean_replication/Dataverse_files/study2.R,165 (est); 166 (rep),Figure 8 (model behind panel); console output,2,"pride1<- glm (proudWvalues ~ treat*imm_1, weight=nationalweight, data=spain, family=""binomial"")",summary(pride1),C,Classical (model-based) SEs,stated: '###FIGURE 8###' at L163.
clean_replication/Dataverse_files/study2.R,165 (est); 169-170 (rep),"Figure 8, top panel",2,"pride1<- glm (proudWvalues ~ treat*imm_1, weight=nationalweight, data=spain, family=""binomial"")","prideplot1<- interact_plot(pride1, pred = imm_1, modx = treat, interval = FALSE, modx.labels = c(""0""=""Control"", ""1""=""Treatment""))",D,None displayed,stated: '###FIGURE 8###' at L163. interval = FALSE.
clean_replication/Dataverse_files/study2.R,"165 (est); 197-202, 208 (rep)","Figure 8, bottom panel (conditional ATE)",2,"pride1<- glm (proudWvalues ~ treat*imm_1, weight=nationalweight, data=spain, family=""binomial"")","pride1 %>% margins(at = list(imm_1 = seq(0, 10, by = 1))) %>% summary ... geom_errorbar(aes(ymax = (AME-SE*1.645), ...))",C,Classical (model-based) delta-method SEs,stated: '###FIGURE 8###' at L163. No robust argument.
clean_replication/Dataverse_files/study2.R,224 (est); 228 (rep),Table A9,2,"models1 [['Model 1']] <-lm (support ~ treat + imm_1, weight=nationalweight, data=spain)","modelsummary(models1, star=c('*'=.1, ""**""=.05, ""***""=.01), output=""latex"")",C,Classical OLS SEs,"stated: '###TABLE A9###' at L222 and ReadMe.pdf. KEY CASE: no robust argument appears anywhere - not in the lm() calls, not in the modelsummary() call. Nothing was requested, so nothing could have been silently ignored. Contrast L248 in the same file, which does pass robust=TRUE."
clean_replication/Dataverse_files/study2.R,225 (est); 228 (rep),Table A9,2,"models1 [['Model 2']] <-lm (support ~ treat*imm_1, weight=nationalweight, data=spain)","modelsummary(models1, star=c('*'=.1, ""**""=.05, ""***""=.01), output=""latex"")",C,Classical OLS SEs,"stated: '###TABLE A9###' at L222 and ReadMe.pdf. KEY CASE: no robust argument appears anywhere - not in the lm() calls, not in the modelsummary() call. Nothing was requested, so nothing could have been silently ignored. Contrast L248 in the same file, which does pass robust=TRUE."
clean_replication/Dataverse_files/study2.R,226 (est); 228 (rep),Table A9,2,"models1 [['Model 3']] <-lm (support ~ treat, weight=nationalweight, data=proimmES)","modelsummary(models1, star=c('*'=.1, ""**""=.05, ""***""=.01), output=""latex"")",C,Classical OLS SEs,"stated: '###TABLE A9###' at L222 and ReadMe.pdf. KEY CASE: no robust argument appears anywhere - not in the lm() calls, not in the modelsummary() call. Nothing was requested, so nothing could have been silently ignored. Contrast L248 in the same file, which does pass robust=TRUE."
clean_replication/Dataverse_files/study2.R,227 (est); 228 (rep),Table A9,2,"models1 [['Model 4']] <-lm (support ~ treat, weight=nationalweight, data=noproimmES)","modelsummary(models1, star=c('*'=.1, ""**""=.05, ""***""=.01), output=""latex"")",C,Classical OLS SEs,"stated: '###TABLE A9###' at L222 and ReadMe.pdf. KEY CASE: no robust argument appears anywhere - not in the lm() calls, not in the modelsummary() call. Nothing was requested, so nothing could have been silently ignored. Contrast L248 in the same file, which does pass robust=TRUE."
clean_replication/Dataverse_files/study2.R,234 (est); 238 (rep),Table A10,2,"models0 [['Model 1']] <-lm (lgbtED ~ treat + imm_1, weight=nationalweight, data=spain)","modelsummary(models0, star=c('*'=.1, ""**""=.05, ""***""=.01), output=""latex"")",C,Classical OLS SEs,stated: '###TABLE A10###' at L232 and ReadMe.pdf. KEY CASE: no robust argument appears anywhere. Same reasoning as Table A9.
clean_replication/Dataverse_files/study2.R,235 (est); 238 (rep),Table A10,2,"models0 [['Model 2']] <-lm (lgbtED ~ treat*imm_1, weight=nationalweight, data=spain)","modelsummary(models0, star=c('*'=.1, ""**""=.05, ""***""=.01), output=""latex"")",C,Classical OLS SEs,stated: '###TABLE A10###' at L232 and ReadMe.pdf. KEY CASE: no robust argument appears anywhere. Same reasoning as Table A9.
clean_replication/Dataverse_files/study2.R,236 (est); 238 (rep),Table A10,2,"models0 [['Model 3']] <-lm (lgbtED ~ treat, weight=nationalweight, data=proimmES)","modelsummary(models0, star=c('*'=.1, ""**""=.05, ""***""=.01), output=""latex"")",C,Classical OLS SEs,stated: '###TABLE A10###' at L232 and ReadMe.pdf. KEY CASE: no robust argument appears anywhere. Same reasoning as Table A9.
clean_replication/Dataverse_files/study2.R,237 (est); 238 (rep),Table A10,2,"models0 [['Model 4']] <-lm (lgbtED ~ treat, weight=nationalweight, data=noproimmES)","modelsummary(models0, star=c('*'=.1, ""**""=.05, ""***""=.01), output=""latex"")",C,Classical OLS SEs,stated: '###TABLE A10###' at L232 and ReadMe.pdf. KEY CASE: no robust argument appears anywhere. Same reasoning as Table A9.
clean_replication/Dataverse_files/study2.R,242 (est); 248 (rep),Table A11,2,"mech [['EU norms']]<- lm (pride_valoresUE ~ treat*imm_1, weight=nationalweight, data=spain)","modelsummary(mech, star=c('*'=.1, ""**""=.05, ""***""=.01), output=""latex"", robust=TRUE)",B,HC3 robust SEs in the published table (robust=TRUE is not a modelsummary argument and is absorbed by ...; the version the authors ran nonetheless passed it through to the variance estimator - current versions do not),"stated: '###TABLE A11###' at L240 and ReadMe.pdf. Archetypal modelsummary(model, robust = TRUE) misspecification. (ReadMe.pdf also lists Table A11 under study1.R, but no Table A11 code exists in study1.R.) CORRECTION: the SEs printed in the published table are HC3, not classical - refitting gives HC3 to the last digit while classical differs. The version the authors ran honoured the undocumented argument; modelsummary 2.5.0 does not. Category B still applies: it records that robust=TRUE is not a supported way to request robust SEs, not that the printed SEs are classical."
clean_replication/Dataverse_files/study2.R,243 (est); 248 (rep),Table A11,2,"mech [['Western liberal values']]<- lm (pride_libertadOCC ~ treat*imm_1, weight=nationalweight, data=spain)","modelsummary(mech, star=c('*'=.1, ""**""=.05, ""***""=.01), output=""latex"", robust=TRUE)",B,HC3 robust SEs in the published table (robust=TRUE is not a modelsummary argument and is absorbed by ...; the version the authors ran nonetheless passed it through to the variance estimator - current versions do not),"stated: '###TABLE A11###' at L240 and ReadMe.pdf. Archetypal modelsummary(model, robust = TRUE) misspecification. (ReadMe.pdf also lists Table A11 under study1.R, but no Table A11 code exists in study1.R.) CORRECTION: the SEs printed in the published table are HC3, not classical - refitting gives HC3 to the last digit while classical differs. The version the authors ran honoured the undocumented argument; modelsummary 2.5.0 does not. Category B still applies: it records that robust=TRUE is not a supported way to request robust SEs, not that the printed SEs are classical."
clean_replication/Dataverse_files/study2.R,244 (est); 248 (rep),Table A11,2,"mech [['Green politics']]<- lm (pride_verde ~ treat*imm_1, weight=nationalweight, data=spain)","modelsummary(mech, star=c('*'=.1, ""**""=.05, ""***""=.01), output=""latex"", robust=TRUE)",B,HC3 robust SEs in the published table (robust=TRUE is not a modelsummary argument and is absorbed by ...; the version the authors ran nonetheless passed it through to the variance estimator - current versions do not),"stated: '###TABLE A11###' at L240 and ReadMe.pdf. Archetypal modelsummary(model, robust = TRUE) misspecification. (ReadMe.pdf also lists Table A11 under study1.R, but no Table A11 code exists in study1.R.) CORRECTION: the SEs printed in the published table are HC3, not classical - refitting gives HC3 to the last digit while classical differs. The version the authors ran honoured the undocumented argument; modelsummary 2.5.0 does not. Category B still applies: it records that robust=TRUE is not a supported way to request robust SEs, not that the printed SEs are classical."
clean_replication/Dataverse_files/study2.R,245 (est); 248 (rep),Table A11,2,"mech [['Domestic violence protections']]<- lm (pride_viomach ~ treat*imm_1, weight=nationalweight, data=spain)","modelsummary(mech, star=c('*'=.1, ""**""=.05, ""***""=.01), output=""latex"", robust=TRUE)",B,HC3 robust SEs in the published table (robust=TRUE is not a modelsummary argument and is absorbed by ...; the version the authors ran nonetheless passed it through to the variance estimator - current versions do not),"stated: '###TABLE A11###' at L240 and ReadMe.pdf. Archetypal modelsummary(model, robust = TRUE) misspecification. (ReadMe.pdf also lists Table A11 under study1.R, but no Table A11 code exists in study1.R.) CORRECTION: the SEs printed in the published table are HC3, not classical - refitting gives HC3 to the last digit while classical differs. The version the authors ran honoured the undocumented argument; modelsummary 2.5.0 does not. Category B still applies: it records that robust=TRUE is not a supported way to request robust SEs, not that the printed SEs are classical."
clean_replication/Dataverse_files/study2.R,246 (est); 248 (rep),Table A11,2,"mech [['Spanish flag']]<- lm (pride_bandera ~ treat*imm_1, weight=nationalweight, data=spain)","modelsummary(mech, star=c('*'=.1, ""**""=.05, ""***""=.01), output=""latex"", robust=TRUE)",B,HC3 robust SEs in the published table (robust=TRUE is not a modelsummary argument and is absorbed by ...; the version the authors ran nonetheless passed it through to the variance estimator - current versions do not),"stated: '###TABLE A11###' at L240 and ReadMe.pdf. Archetypal modelsummary(model, robust = TRUE) misspecification. (ReadMe.pdf also lists Table A11 under study1.R, but no Table A11 code exists in study1.R.) CORRECTION: the SEs printed in the published table are HC3, not classical - refitting gives HC3 to the last digit while classical differs. The version the authors ran honoured the undocumented argument; modelsummary 2.5.0 does not. Category B still applies: it records that robust=TRUE is not a supported way to request robust SEs, not that the printed SEs are classical."
clean_replication/Dataverse_files/study2.R,247 (est); 248 (rep),Table A11,2,"mech [['Spanish military efforts']]<- lm (pride_mili ~ treat*imm_1, weight=nationalweight, data=spain)","modelsummary(mech, star=c('*'=.1, ""**""=.05, ""***""=.01), output=""latex"", robust=TRUE)",B,HC3 robust SEs in the published table (robust=TRUE is not a modelsummary argument and is absorbed by ...; the version the authors ran nonetheless passed it through to the variance estimator - current versions do not),"stated: '###TABLE A11###' at L240 and ReadMe.pdf. Archetypal modelsummary(model, robust = TRUE) misspecification. (ReadMe.pdf also lists Table A11 under study1.R, but no Table A11 code exists in study1.R.) CORRECTION: the SEs printed in the published table are HC3, not classical - refitting gives HC3 to the last digit while classical differs. The version the authors ran honoured the undocumented argument; modelsummary 2.5.0 does not. Category B still applies: it records that robust=TRUE is not a supported way to request robust SEs, not that the printed SEs are classical."
clean_replication/Dataverse_files/study2.R,253 (est); 259-260 (rep),"Figure A5, top panel",2,"mech1<- lm (pride_libertadOCC ~ treat*imm_1, weight=nationalweight, data=spain)","mechplot1<- interact_plot(mech1, pred = imm_1, modx = treat, interval = FALSE, colors = colors)",D,None displayed,stated: '###FIGURE A5###' at L252. interval = FALSE.
clean_replication/Dataverse_files/study2.R,"253 (est); 286-291, 297 (rep)","Figure A5, bottom panel (conditional ATE)",2,"mech1<- lm (pride_libertadOCC ~ treat*imm_1, weight=nationalweight, data=spain)","mech1 %>% margins(at = list(imm_1 = seq(0, 10, by = 1))) %>% summary ... geom_errorbar(aes(ymax = (AME-SE*1.645), ...))",C,Classical (model-based) delta-method SEs,"stated: '###FIGURE A5###' at L252. No robust argument; note mech1 is refitted identically to mech[['Western liberal values']] at L243, which DID carry robust=TRUE in its (ignored) reporting call."
clean_replication/Dataverse_files/multiverse.R,25-35,"Figure A10 (panel 1, full sample)",1,"p1<- stability_plot(data = df, lhs = 'support', rhs = 'treatnum', perm = perm_controls, perm_fe = perm_fe_controls, ...)","p1<- stability_plot(data = df, lhs = 'support', rhs = 'treatnum', perm = perm_controls, perm_fe = perm_fe_controls, ...) (estimation and plotting are the same call)",C,"Classical (iid) SEs from lfe::felm, 95% CIs","stated: section headers '###FIGURE A10/A11/A12/A13###'. starbility::stability_plot estimates each specification with lfe::felm(spec, data, weights) and takes broom::tidy()$std.error, with cluster defaulting to '0' (no clustering) - i.e. classical SEs. No robust/cluster argument is supplied in the archive code. Package source checked at github.com/AakaashRao/starbility (R/builtin_models.R, R/create_stability_plot.R); starbility is not on CRAN and was not installed locally, so this rests on source inspection, not execution."
clean_replication/Dataverse_files/multiverse.R,52-62,"Figure A10 (panel 2, below-average immigration views)",1,"p2<- stability_plot(data = noproimm, lhs = 'support', rhs = 'treatnum', ...)","p2<- stability_plot(data = noproimm, lhs = 'support', rhs = 'treatnum', ...) (estimation and plotting are the same call)",C,"Classical (iid) SEs from lfe::felm, 95% CIs","stated: section headers '###FIGURE A10/A11/A12/A13###'. starbility::stability_plot estimates each specification with lfe::felm(spec, data, weights) and takes broom::tidy()$std.error, with cluster defaulting to '0' (no clustering) - i.e. classical SEs. No robust/cluster argument is supplied in the archive code. Package source checked at github.com/AakaashRao/starbility (R/builtin_models.R, R/create_stability_plot.R); starbility is not on CRAN and was not installed locally, so this rests on source inspection, not execution."
clean_replication/Dataverse_files/multiverse.R,79-89,"Figure A10 (panel 3, above-average immigration views)",1,"p3<- stability_plot(data = proimm, lhs = 'support', rhs = 'treatnum', ...)","p3<- stability_plot(data = proimm, lhs = 'support', rhs = 'treatnum', ...) (estimation and plotting are the same call)",C,"Classical (iid) SEs from lfe::felm, 95% CIs","stated: section headers '###FIGURE A10/A11/A12/A13###'. starbility::stability_plot estimates each specification with lfe::felm(spec, data, weights) and takes broom::tidy()$std.error, with cluster defaulting to '0' (no clustering) - i.e. classical SEs. No robust/cluster argument is supplied in the archive code. Package source checked at github.com/AakaashRao/starbility (R/builtin_models.R, R/create_stability_plot.R); starbility is not on CRAN and was not installed locally, so this rests on source inspection, not execution."
